model,train_accuracy,val_accuracy,test_accuracy,train_balanced_acc,val_balanced_acc,test_balanced_acc,train_f1,val_f1,test_f1
Logistic Regression,0.7744565217391305,0.7154471544715447,0.8211382113821138,0.7150197628458498,0.6543040293040293,0.7978328173374613,0.7242699164974047,0.6591179032385779,0.7934981684981686
Random Forest,1.0,0.7723577235772358,0.8048780487804879,1.0,0.6822344322344323,0.7642414860681115,1.0,0.6981065918653576,0.7680703959773727
XGBoost,1.0,0.7154471544715447,0.7723577235772358,1.0,0.6336996336996337,0.7407120743034056,1.0,0.6410406070207622,0.7371794871794872
